position,salary_range,company,category1,category2,location,remote,must have,nice to have,seniority
Senior Presales Engineer,17 000  – 22 000  PLN,10Clouds,Sales,,Remote,,English (C1),"Blockchain, AI",Senior
Financial Analyst,7 000  – 10 000  PLN,HRO Digital,Finance,,Kraków,,"Audit, Degree, Accounting, Excel, Polish, English",None,Mid
Senior Unity Engineer,20 000  – 26 000  PLN,Sunscrapers,Game dev,UNITY,Remote,,"UNITY, C#, .NET, Unity 3D, C++, English (C1), Polish (NATIVE)","SRP, SBP, OpenGL, DirectX, iOS, Android",Senior
Technology Project Manager,25 200  – 29 400  PLN,Wipro Digital,Project Manager,,Krakow,,"Agile, Confluence, Jira, English",Polish,Senior
Remote Senior Project Manager,31 920  – 35 280  PLN,Coforge,Project Manager,,Remote,,"Project management, MS Project, Microsoft Office suite, English (C1)",Quality assurance,Senior
Remote Principle Program Manager,36 960  – 42 000  PLN,Coforge,Project Manager,,Remote,,"Program Management, Microsoft Office, Project management, Airline, English (C1)",None,Expert
Quality Assurance Automation Engineer,8 500  – 16 000  PLN,STORKJET SP. Z O.O.,Automation,,Katowice,,"Cucumber, Selenium, JUnit, SQL, Python, Java, Linux, Bash, CI, CD, English","MariaDB, MySQL","Mid, Senior"
Junior Analyst - AI,8 000  – 12 000  PLN,Thoriana Sp. z o.o.,AI,,Warsaw,,"Visio, Enterprise Architect, English (B2)","MS Project, UML, BPMN, CRM, ERP, Prince2, MS Office",Junior
Administrator infrastruktury,16 800  – 20 160  PLN,Avenga,Sys. Administrator,,Łódź,,"Linux, Bash, Perl, Python, Ansible, English (B2)","Kubernetes, Docker, Zabbix, Prometheus, Grafana, TeamCity, Jenkins, Jira, Git",Mid
Młodszy inżynier elektronik,6 000  – 8 400  PLN,Prime Engineering,Electronics,,Wrocław,,Sodlidworks,English (B2),Junior
Managed Cloud Database Administrator,14 000  – 20 000  PLN,Nordcloud,Data,SQL,Remote,,"SQL, SQL Server, Oracle, MongoDB, Cloud computing, Automation, Scripting, English","NoSQL, PostgreSQL, MySQL, DB, Terraform, Ansible, AWS, Azure, Google cloud",Mid
IT Voice Engineer,18 000  – 24 000  PLN,Link Group,Telecommunication,,Kraków,,"Cisco, Verint, MS Teams, WebEx, Movius, Excel, VBS, PowerShell, Polish, English",None,Mid
