position,salary_range,company,category1,category2,location,remote,must have,nice to have,seniority
Remote Avionics Test Automation Engineer,23 520  – 33 000  PLN,int2code GmbH,Testing,Python,Remote,False,"Python, Communication skills, git, ROBOT Framework, Jenkins, C, Git, embedded software testing, English, English (C1)","ISTQB-Certification, Polarion, LDRA, Ceedling, German",Mid
Key Account Manager (branża reklamowa),8 000  – 9 000  PLN,APV.EU Sp. z o.o.,Sales,None,Komorniki,False,English (B1),zmysł techniczny,Mid
Account Manager,8 000  – 12 000  PLN,TR Group,Sales,None,Kraków,False,English,None,Mid
Junior IT Solution Architect,19 000  – 23 000  PLN,ERGO Technology & Services,Architecture,None,Warszawa,False,"React, Angular, Java, Node.js, Python, PHP, Microservices, DDD, AWS, DevOps, English",None,Junior
Senior Linux Systems Engineer,14 000  – 20 000  PLN,Keepit,Sys. Administrator,None,Kraków,False,"Linux, Networking, Switches, Routing, Dell, Ubuntu, English (B2)","Git, BGP, LDAP, Kerberos, SAML, Ansible, gdb",Senior
TechOps Engineer,12 000  – 16 000  PLN,Keepit,Sys. Administrator,None,Kraków,False,"Ubuntu, Linux, Networking, Grep, Shell, English (B2)","PostgreSQL, Pacemaker, Corosync, ITIL",Mid
.NET Developer + Winforms + DevExpress,17 000  – 21 000  PLN,Link Group,Backend,.NET,Remote,False,".NET, C#, Windows, MVC, WebAPI, .NET Core, WinForms, Visual Studio, MySQL, Git, Integracja systemów, LINQ, SOLID, MS SQL, Aplikacje wielomodułowe, CI/CD, Wzorce projektowe, English (B2)","Aplikacje webowe, DevExpress, MongoDB, Microservices",Senior
C++ Developer,13 000  – 18 500  PLN,Keepit,Backend,C++,Kraków,False,"C++, Linux, Multithreading, STL, TCP, HTTP, REST API, XML, SQL, English (B2)",None,Mid
MQ Administrator,20 160  – 28 560  PLN,RITS PROFESSIONAL SERVICES Sp. z o. o.,Sys. Administrator,None,Kraków,False,"IBM, IBM MQ, Linux, Storage, SAN, English (B2)",None,"Mid, Senior"
Junior Marketing Specialist,4 000  – 5 000  PLN,Talex S.A.,Marketing,None,Poznań,False,"MS Office, Canva, Photoshop, English",WordPress,Junior
